Date,Age 2 to School Year 6,School Year 7 to School Year 11,School Year 12 to Age 24,Age 25 to Age 34,Age 35 to Age 49,Age 50 to Age 69,Age 70+
12-Sep-20,0.18%,0.17%,0.27%,0.21%,0.12%,0.11%,0.07%
13-Sep-20,0.17%,0.19%,0.29%,0.21%,0.13%,0.11%,0.08%
14-Sep-20,0.17%,0.20%,0.30%,0.21%,0.13%,0.12%,0.09%
15-Sep-20,0.17%,0.22%,0.32%,0.22%,0.14%,0.13%,0.09%
16-Sep-20,0.17%,0.24%,0.34%,0.22%,0.15%,0.14%,0.10%
17-Sep-20,0.17%,0.25%,0.37%,0.22%,0.16%,0.15%,0.11%
18-Sep-20,0.17%,0.27%,0.40%,0.23%,0.17%,0.15%,0.13%
19-Sep-20,0.18%,0.28%,0.43%,0.24%,0.18%,0.16%,0.14%
20-Sep-20,0.18%,0.29%,0.47%,0.24%,0.19%,0.17%,0.16%
21-Sep-20,0.18%,0.30%,0.53%,0.26%,0.20%,0.18%,0.17%
22-Sep-20,0.18%,0.32%,0.58%,0.27%,0.22%,0.19%,0.18%
23-Sep-20,0.18%,0.34%,0.65%,0.29%,0.23%,0.20%,0.20%
24-Sep-20,0.18%,0.36%,0.73%,0.30%,0.25%,0.21%,0.21%
25-Sep-20,0.19%,0.38%,0.82%,0.32%,0.27%,0.22%,0.21%
26-Sep-20,0.19%,0.41%,0.92%,0.35%,0.29%,0.24%,0.22%
27-Sep-20,0.19%,0.44%,1.03%,0.37%,0.31%,0.25%,0.22%
28-Sep-20,0.20%,0.48%,1.14%,0.40%,0.33%,0.26%,0.22%
29-Sep-20,0.20%,0.53%,1.26%,0.42%,0.35%,0.27%,0.22%
30-Sep-20,0.21%,0.58%,1.39%,0.45%,0.37%,0.29%,0.22%
01-Oct-20,0.22%,0.63%,1.50%,0.47%,0.39%,0.30%,0.21%
02-Oct-20,0.23%,0.69%,1.62%,0.50%,0.41%,0.32%,0.21%
03-Oct-20,0.24%,0.75%,1.72%,0.52%,0.43%,0.33%,0.21%
04-Oct-20,0.26%,0.80%,1.80%,0.55%,0.45%,0.35%,0.22%
05-Oct-20,0.28%,0.85%,1.88%,0.56%,0.47%,0.37%,0.22%
06-Oct-20,0.30%,0.89%,1.93%,0.58%,0.49%,0.39%,0.23%
07-Oct-20,0.32%,0.92%,1.98%,0.60%,0.50%,0.42%,0.24%
08-Oct-20,0.35%,0.94%,2.00%,0.61%,0.52%,0.44%,0.26%
09-Oct-20,0.38%,0.96%,2.02%,0.63%,0.54%,0.46%,0.28%
10-Oct-20,0.41%,0.97%,2.03%,0.64%,0.56%,0.49%,0.30%
11-Oct-20,0.45%,0.97%,2.04%,0.66%,0.58%,0.52%,0.33%
12-Oct-20,0.49%,0.98%,2.04%,0.68%,0.60%,0.55%,0.36%
13-Oct-20,0.53%,0.99%,2.04%,0.70%,0.62%,0.58%,0.39%
14-Oct-20,0.57%,1.01%,2.05%,0.73%,0.64%,0.60%,0.42%
15-Oct-20,0.62%,1.04%,2.05%,0.76%,0.66%,0.63%,0.45%
16-Oct-20,0.67%,1.09%,2.07%,0.80%,0.68%,0.66%,0.48%
17-Oct-20,0.71%,1.16%,2.09%,0.85%,0.70%,0.68%,0.50%
18-Oct-20,0.76%,1.24%,2.11%,0.90%,0.72%,0.71%,0.52%
19-Oct-20,0.81%,1.35%,2.14%,0.96%,0.73%,0.73%,0.53%
20-Oct-20,0.87%,1.48%,2.17%,1.03%,0.75%,0.75%,0.54%
21-Oct-20,0.92%,1.63%,2.21%,1.10%,0.76%,0.77%,0.54%
22-Oct-20,0.98%,1.81%,2.25%,1.18%,0.78%,0.79%,0.54%
23-Oct-20,1.04%,2.01%,2.30%,1.27%,0.79%,0.81%,0.54%
