binomial_name,country,continent,group,year_last_seen,red_list_category,threat_type,threatened
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,Extinct in the Wild,Invasive Species,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,Extinct in the Wild,Geological Events,1
Acaena exigua,United States,North America,Flowering Plant,1980-1999,Extinct,Invasive Species,1
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,Extinct,Energy Production & Mining,1
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,Extinct,Biological Resource Use,1
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,Extinct,Invasive Species,1
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,Extinct,Unknown,1
Acalypha wilderi,Cook Islands,Oceania,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Acalypha wilderi,Cook Islands,Oceania,Flowering Plant,1920-1939,Extinct,Commercial Development,1
Acalypha wilderi,Cook Islands,Oceania,Flowering Plant,1920-1939,Extinct,Invasive Species,1
Acalypha wilderi,Cook Islands,Oceania,Flowering Plant,1920-1939,Extinct,Transportation Corridor,1
Acer hilaense,China,Asia,Flowering Plant,1920-1939,Extinct in the Wild,Commercial Development,1
Achyranthes atollensis,United States,North America,Flowering Plant,1960-1979,Extinct,Commercial Development,1
Achyranthes atollensis,United States,North America,Flowering Plant,1960-1979,Extinct,Invasive Species,1
Adenophorus periens,United States,North America,Ferns and Allies,2000-2020,Extinct,Invasive Species,1
Adenophorus periens,United States,North America,Ferns and Allies,2000-2020,Extinct,Geological Events,1
Adiantum lianxianense,China,Asia,Ferns and Allies,2000-2020,Extinct,Unknown,1
